annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
27,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8737611|2446354|12307983|8738462
28,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12286569|12307237|12307317|12307351|8737611
29,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,3940.00,0,0,WH_Arial_2.5mm_Transparent,12286569|8737611
30,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12286569|12307527|12307652|12307652|8737611
31,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354|12307395|12307413
32,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,135.00,0,0,WH_Arial_2.5mm_Transparent,12307652|12307983
33,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12312890|12312891
34,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12312889|12312890
35,Elevation A,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12312889|12312890
36,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12312948|12312949
37,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12312947|12312948
38,Elevation A,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12312947|12312948
39,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354|8738462|12287395
40,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326115|12326116
41,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326114|12326115
42,Elevation B,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326114|12326115
43,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326126|12326127
44,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326125|12326126
45,Elevation B,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326125|12326126
46,Elevation C,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326265|12326266
47,Elevation C,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326264|12326265
48,Elevation C,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326264|12326265
49,Elevation C,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326276|12326277
50,Elevation C,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326275|12326276
51,Elevation C,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326275|12326276
52,Elevation D,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326326|12326327
53,Elevation D,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326325|12326326
54,Elevation D,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326325|12326326
55,Elevation D,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326337|12326338
56,Elevation D,Elevation,Dimensions,Linear Dimension Style,73.86,0,0,Linear Dimension Style,12326336|12326337
57,Elevation D,Elevation,Dimensions,Linear Dimension Style,127.94,0,0,Linear Dimension Style,12326336|12326337
58,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8738462|12287395|2446422
59,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12327918|8738448
60,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8738462|8738462|2446354|12287395
61,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12306651|12294501
62,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12306523|8738448
63,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,8738559|12306326
64,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12306460|12286569
65,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12328620|8738448
66,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12328620|12287194
67,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12328620|8738452
68,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12328620|12286569
69,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12308332|12294476
70,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307652|8737333
71,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307652|8737333
72,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307527|8738448
73,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307527|8738448
74,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307527|8738448
75,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307184|8737333
76,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12287194|12307237
77,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307317|8737333
78,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12287194|8738559|12304992|12287194
79,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8738462|12287395|12287194
80,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12362632|12358818
81,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,3890.00,0,0,WH_Arial_2.5mm_Transparent,8738462|12287194
82,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12307983|8738462
83,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12364488|12358818
84,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,Alignment,12364493|12358818
