annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
143,Elevation B,Elevation,Dimensions,Linear Dimension Style,1900.00,0.0,0.0,Linear Dimension Style,12354121|12354121
144,Elevation B,Elevation,Dimensions,Linear Dimension Style,1020.00,0.0,0.0,Linear Dimension Style,12354139|12354140
145,Elevation B,Elevation,Dimensions,Linear Dimension Style,540.00,0.0,0.0,Linear Dimension Style,12354139|12354139
146,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2830.00,0.0,0.0,WH_Arial_2.5mm_Transparent,12354195|12287244
147,Elevation D,Elevation,Dimensions,Linear Dimension Style,980.00,0.0,0.0,Linear Dimension Style,12354881|12354882
148,Elevation D,Elevation,Dimensions,Linear Dimension Style,540.00,0.0,0.0,Linear Dimension Style,12354881|12354881
149,Elevation A,Elevation,Dimensions,Linear Dimension Style,390.00,0.0,0.0,Linear Dimension Style,12355079|12355080
150,Elevation A,Elevation,Dimensions,Linear Dimension Style,1920.00,0.0,0.0,Linear Dimension Style,12355079|12355079
151,Elevation A,Elevation,Dimensions,Linear Dimension Style,980.00,0.0,0.0,Linear Dimension Style,12357158|12357159
152,Elevation A,Elevation,Dimensions,Linear Dimension Style,3223.00,0.0,0.0,Linear Dimension Style,12357157|12357163
153,Elevation A,Elevation,Dimensions,Linear Dimension Style,1360.00,0.0,0.0,Linear Dimension Style,12357163|12357163
154,Elevation A,Elevation,Dimensions,Linear Dimension Style,22.13,0.0,0.0,Linear Dimension Style,12357159|12357165
155,Elevation A,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12357158|12357158
156,Elevation A,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12357165|12357163
157,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12385789|12288089
158,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12385840|12380712
159,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324375|8984305
160,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,30.00,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|12288089
161,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,450.00,0.0,0.0,WH_Arial_2.5mm_Transparent,12288087|12380712
