annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
102,Elevation D,Elevation,Dimensions,Linear Dimension Style,640.00,0.0,0.0,Linear Dimension Style,11986023|11986024
103,Elevation D,Elevation,Dimensions,Linear Dimension Style,260.00,0.0,0.0,Linear Dimension Style,11986023|11986023
104,Elevation D,Elevation,Dimensions,Linear Dimension Style,400.00,0.0,0.0,Linear Dimension Style,11987413|11987414
105,Elevation D,Elevation,Dimensions,Linear Dimension Style,800.00,0.0,0.0,Linear Dimension Style,11987413|11987413
106,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11910591|9223210
107,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11887679|11872817
108,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11756530|9223210
109,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,9614.95,0.0,0.0,WH_Arial_2.5mm_Transparent,11891873|11823181
110,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11891873|11710450|11823181
111,Elevation A,Elevation,Dimensions,Linear Dimension Style,940.00,0.0,0.0,Linear Dimension Style,12002718|12002719
112,Elevation A,Elevation,Dimensions,Linear Dimension Style,457.97,0.0,0.0,Linear Dimension Style,12002719|12002725
113,Elevation A,Elevation,Dimensions,Linear Dimension Style,920.00,0.0,0.0,Linear Dimension Style,12002724|12002725
114,Elevation A,Elevation,Dimensions,Linear Dimension Style,1792.40,0.0,0.0,Linear Dimension Style,12002725|12002731
115,Elevation A,Elevation,Dimensions,Linear Dimension Style,900.00,0.0,0.0,Linear Dimension Style,12002730|12002731
116,Elevation A,Elevation,Dimensions,Linear Dimension Style,65.57,0.0,0.0,Linear Dimension Style,12002719|12002731
117,Elevation A,Elevation,Dimensions,Linear Dimension Style,65.57,0.0,0.0,Linear Dimension Style,12002719|12002725
118,Elevation A,Elevation,Dimensions,Linear Dimension Style,520.00,0.0,0.0,Linear Dimension Style,12002719|12002720
119,Elevation A,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12002731|12002729
120,Elevation A,Elevation,Dimensions,Linear Dimension Style,5.57,0.0,0.0,Linear Dimension Style,12002717|12002723
121,Elevation C,Elevation,Dimensions,Linear Dimension Style,900.00,0.0,0.0,Linear Dimension Style,12002782|12002783
122,Elevation C,Elevation,Dimensions,Linear Dimension Style,1310.48,0.0,0.0,Linear Dimension Style,12002781|12002787
123,Elevation C,Elevation,Dimensions,Linear Dimension Style,885.42,0.0,0.0,Linear Dimension Style,12002787|12002787
124,Elevation C,Elevation,Dimensions,Linear Dimension Style,477.26,0.0,0.0,Linear Dimension Style,12002787|12002793
125,Elevation C,Elevation,Dimensions,Linear Dimension Style,940.00,0.0,0.0,Linear Dimension Style,12002793|12002793
126,Elevation C,Elevation,Dimensions,Linear Dimension Style,695.21,0.0,0.0,Linear Dimension Style,12002795|12002801
